symbol,index,security,status,reason,rows,start,end
DGII,S&P 600,Digi International Inc.,OK,,899,2023-01-13,2026-08-19
DINO,S&P 400,HF Sinclair,OK,,902,2023-01-13,2026-08-19
DIOD,S&P 600,Diodes Incorporated,OK,,902,2023-01-13,2026-08-19
DKS,S&P 400,Dick's Sporting Goods,OK,,899,2023-01-13,2026-08-19
DLB,S&P 400,Dolby,OK,,902,2023-01-13,2026-08-19
DLX,S&P 600,Deluxe Corporation,OK,,899,2023-01-13,2026-08-19
DMC,S&P 600,Del Monte Corporation,OK,,899,2023-01-13,2026-08-19
DNOW,S&P 600,NOW Inc,OK,,900,2023-01-13,2026-08-19
DOCN,S&P 400,DigitalOcean,OK,,902,2023-01-13,2026-08-19
DOCS,S&P 400,Doximity,OK,,899,2023-01-13,2026-08-19
DOCU,S&P 400,Docusign,OK,,899,2023-01-13,2026-08-19
DORM,S&P 600,"Dorman Products, Inc.",OK,,899,2023-01-13,2026-08-19
DRH,S&P 600,DiamondRock Hospitality Company,OK,,901,2023-01-13,2026-08-19
DT,S&P 400,Dynatrace,OK,,899,2023-01-13,2026-08-19
DTM,S&P 400,DT Midstream,OK,,899,2023-01-13,2026-08-19
DUOL,S&P 400,Duolingo,OK,,902,2023-01-13,2026-08-19
DV,S&P 600,DoubleVerify Holdings Inc.,OK,,902,2023-01-13,2026-08-19
DXC,S&P 600,DXC Technology,OK,,899,2023-01-13,2026-08-19
DXPE,S&P 600,"DXP Enterprises, Inc.",OK,,899,2023-01-13,2026-08-19
DY,S&P 400,Dycom Industries,OK,,899,2023-01-13,2026-08-19
EAT,S&P 600,"Brinker International, Inc.",OK,,902,2023-01-13,2026-08-19
EBC,S&P 600,"Eastern Bankshares, Inc.",OK,,899,2023-01-13,2026-08-19
ECG,S&P 600,"Everus Construction Group, Inc.",OK,,450,2024-10-28,2026-08-19
ECPG,S&P 600,"Encore Capital Group, Inc.",OK,,899,2023-01-13,2026-08-19
EEFT,S&P 400,Euronet Worldwide,OK,,899,2023-01-13,2026-08-19
EFC,S&P 600,"Ellington Financial, Inc.",OK,,899,2023-01-13,2026-08-19
EFOR,S&P 600,Everforth Inc.,OK,,902,2023-01-13,2026-08-19
EGBN,S&P 600,Eagle Bancorp Inc,OK,,899,2023-01-13,2026-08-19
EGP,S&P 400,EastGroup Properties,OK,,899,2023-01-13,2026-08-19
EHC,S&P 400,Encompass Health,OK,,899,2023-01-13,2026-08-19
EIG,S&P 600,"Employers Holdings, Inc.",OK,,902,2023-01-13,2026-08-19
ELAN,S&P 400,Elanco,OK,,902,2023-01-13,2026-08-19
ELF,S&P 400,e.l.f. Beauty,OK,,902,2023-01-13,2026-08-19
ELS,S&P 400,Equity Lifestyle Properties,OK,,899,2023-01-13,2026-08-19
EMN,S&P 600,Eastman Chemical Company,OK,,899,2023-01-13,2026-08-19
ENOV,S&P 600,Enovis,OK,,902,2023-01-13,2026-08-19
ENPH,S&P 600,Enphase Energy,OK,,902,2023-01-13,2026-08-19
