Ticker,EventID,Date,TrendEfficiency_OLD,TrendEfficiency_v2_NEW,MARespect_OLD,MARespect_v5_NEW,RelativeStrength_OLD,RelativeStrength_v2_NEW,Outcome_20ma_P_R,Outcome_HybridTight_P_R
SEI,SEI_0,2025-01-31,0,0,5,2.0,0,2,-1.0,-1.0
SEI,SEI_1,2025-03-04,0,0,5,,3,2,-1.0,-1.0
SEZL,SEZL_0,2025-07-22,1,2,5,4.0,0,1,1.436,1.436
SEZL,SEZL_1,2025-08-07,0,1,5,4.0,3,2,-1.0,-1.0
SFM,SFM_0,2024-12-18,2,1,5,2.0,0,3,-1.0,-1.0
SFM,SFM_1,2025-01-06,0,4,5,0.0,4,4,-1.0,-1.0
SFM,SFM_2,2025-02-21,1,2,5,,0,0,-1.0,-1.0
SHC,SHC_0,2024-10-16,1,3,5,,0,3,-1.0,-1.0
SHC,SHC_1,2024-11-07,1,3,5,,3,0,-1.0,-1.0
SKY,SKY_0,2024-12-18,0,2,5,,0,3,-1.0,-1.0
SLG,SLG_0,2024-08-05,1,1,5,4.0,4,4,1.706,1.706
SLM,SLM_0,2024-05-15,0,4,5,4.0,0,0,-1.0,-1.0
SLM,SLM_1,2024-05-31,0,4,5,,4,4,-1.0,-1.0
SMTC,SMTC_0,2025-01-27,0,0,5,2.0,0,1,-1.0,-1.0
SN,SN_0,2024-07-05,2,4,5,5.0,0,3,-1.0,-1.0
SN,SN_1,2024-11-08,0,0,5,,0,3,-1.0,-1.0
SNEX,SNEX_0,2026-06-29,1,2,5,3.0,0,2,0.933,0.933
SNX,SNX_0,2026-07-02,0,3,5,3.0,0,2,-1.0,-1.0
SONO,SONO_0,2024-03-19,1,1,5,,1,0,1.969,1.969
SONO,SONO_1,2025-12-29,0,3,5,3.0,0,3,1.334,1.334
SPHR,SPHR_0,2026-03-27,1,1,5,3.0,5,4,3.919,3.205
SUPN,SUPN_0,2025-11-05,0,0,5,3.0,0,2,-1.0,-1.0
TDC,TDC_0,2026-01-20,2,2,2,3.0,1,4,-1.0,-1.0
TDS,TDS_0,2023-11-06,0,3,5,,1,3,0.495,0.843
TDS,TDS_1,2025-02-26,0,1,5,5.0,1,3,-1.0,-1.0
TDW,TDW_0,2024-06-14,1,2,5,,0,2,-1.0,-1.0
TGTX,TGTX_0,2024-10-01,3,2,5,2.0,0,3,-1.0,-1.0
TGTX,TGTX_1,2024-11-04,0,2,5,,4,3,5.802,3.962
TGTX,TGTX_2,2024-12-31,0,2,5,2.0,0,3,-1.0,-1.0
TGTX,TGTX_3,2025-01-27,0,3,5,,5,3,0.495,0.495
TGTX,TGTX_4,2025-04-07,1,2,1,,3,4,0.544,0.544
TGTX,TGTX_5,2026-08-03,1,4,5,1.0,0,2,-1.0,-1.0
THC,THC_0,2024-04-23,1,3,5,1.0,1,4,-1.0,-1.0
THC,THC_1,2024-07-08,1,4,5,3.0,0,3,1.334,1.334
THC,THC_2,2024-08-05,1,3,5,3.0,5,5,2.505,1.629
THC,THC_3,2024-10-03,1,4,5,3.0,0,4,-1.0,-1.0
TLN,TLN_0,2024-08-07,0,0,5,3.0,4,4,6.481,2.802
TLN,TLN_1,2024-10-11,1,3,5,4.0,0,2,1.643,1.643
TLN,TLN_2,2024-11-04,1,3,5,4.0,1,3,3.821,3.605
TLN,TLN_3,2025-01-27,0,2,5,1.0,0,0,-1.0,-1.0
TLN,TLN_4,2025-10-24,0,1,5,3.0,0,3,-1.0,-1.0
TMDX,TMDX_0,2024-08-05,1,1,5,3.0,5,5,0.683,0.683
TMDX,TMDX_1,2024-09-17,0,1,0,,0,3,-0.002,-0.002
TNDM,TNDM_0,2024-06-18,3,1,5,2.0,0,2,-1.0,-1.0
TOL,TOL_0,2024-04-16,2,3,5,2.0,0,3,-1.0,-1.0
TOL,TOL_1,2024-05-22,0,3,5,,0,3,-1.0,-1.0
TOST,TOST_0,2024-12-19,3,1,5,2.0,1,2,1.705,1.705
TRIP,TRIP_0,2024-04-15,2,5,5,3.0,0,3,-1.0,-1.0
TTMI,TTMI_0,2025-02-12,0,0,5,,5,4,-1.0,-1.0
TTMI,TTMI_1,2025-08-15,1,3,5,4.0,0,2,-1.0,-1.0
TTMI,TTMI_2,2025-09-02,0,3,5,,5,3,3.689,1.483
TTMI,TTMI_3,2025-11-20,0,1,5,4.0,0,3,-1.0,-1.0
TTMI,TTMI_4,2025-12-17,0,1,5,3.0,0,2,1.794,1.623
TTMI,TTMI_5,2026-03-06,1,2,5,3.0,0,2,-1.0,-1.0
TTMI,TTMI_6,2026-07-01,1,2,5,4.0,0,2,-1.0,-1.0
TWLO,TWLO_0,2025-02-18,2,0,5,1.0,0,2,-1.0,-1.0
TXRH,TXRH_0,2024-07-01,2,3,5,4.0,4,4,0.455,0.455
TXRH,TXRH_1,2024-07-26,0,3,5,3.0,5,0,-0.048,-0.048
UCTT,UCTT_0,2026-07-07,0,1,5,3.0,0,1,-1.0,-1.0
UCTT,UCTT_1,2026-07-13,0,1,5,3.0,0,1,1.532,1.532
UE,UE_0,2024-12-10,1,2,5,5.0,0,0,-1.0,-1.0
UGI,UGI_0,2025-04-03,0,3,5,4.0,4,5,-1.0,-1.0
UNIT,UNIT_0,2026-06-10,1,2,5,1.0,5,4,0.501,1.325
UNIT,UNIT_1,2026-06-18,0,2,5,2.0,3,3,-1.0,-1.0
UNM,UNM_0,2025-01-10,0,3,5,1.0,4,4,2.432,2.943
UNM,UNM_1,2025-02-05,0,4,5,1.0,5,5,0.814,1.416
UPWK,UPWK_0,2025-01-07,0,4,5,4.0,1,4,-1.0,-1.0
USFD,USFD_0,2024-04-04,1,3,5,1.0,0,0,1.475,1.475
USFD,USFD_1,2024-05-06,0,2,5,,4,4,0.495,0.495
UTI,UTI_0,2024-02-15,4,2,5,3.0,3,3,1.905,1.905
VAL,VAL_0,2026-05-05,0,3,5,,3,2,-1.0,-1.0
VECO,VECO_0,2026-07-02,0,0,5,3.0,0,1,-1.0,-1.0
VIAV,VIAV_0,2026-01-08,0,1,5,3.0,0,3,0.776,0.776
VIAV,VIAV_1,2026-06-09,0,0,5,4.0,0,2,1.444,1.444
VIAV,VIAV_2,2026-06-17,0,0,5,4.0,0,3,0.495,0.495
VICR,VICR_0,2026-03-20,0,1,5,4.0,5,2,1.495,1.495
VICR,VICR_1,2026-03-26,0,1,5,3.0,1,2,-1.0,-1.0
VIR,VIR_0,2026-03-30,1,0,5,3.0,0,3,1.545,1.545
VIR,VIR_1,2026-05-07,0,4,5,3.0,0,2,-1.0,-1.0
VIRT,VIRT_0,2024-10-25,0,2,5,3.0,0,4,-1.0,-1.0
VIRT,VIRT_1,2024-12-20,3,4,5,,3,4,1.577,1.577
VIRT,VIRT_2,2026-07-17,0,3,5,2.0,0,2,1.365,1.365
VNO,VNO_0,2024-11-15,0,2,5,5.0,0,3,0.645,0.645
VNO,VNO_1,2024-12-18,1,3,5,3.0,0,3,-1.0,-1.0
VSAT,VSAT_0,2025-10-01,2,3,5,5.0,0,3,4.974,4.516
VSAT,VSAT_1,2025-11-17,0,1,5,4.0,0,3,-1.0,-1.0
VSAT,VSAT_2,2025-11-26,1,1,5,3.0,0,3,-1.0,-1.0
VSAT,VSAT_3,2025-12-22,0,1,5,,3,4,-1.0,-1.0
VSAT,VSAT_4,2026-03-06,1,2,5,2.0,0,3,1.493,1.493
VSAT,VSAT_5,2026-03-27,0,2,5,3.0,5,4,-1.0,-1.0
VSAT,VSAT_6,2026-06-08,1,0,5,3.0,0,2,-1.0,-1.0
VSAT,VSAT_7,2026-06-29,1,2,5,,5,3,0.934,1.643
VSAT,VSAT_8,2026-07-09,0,2,5,,5,2,-1.0,-1.0
VSH,VSH_0,2026-07-02,1,2,5,3.0,0,1,0.434,0.434
VSTS,VSTS_0,2026-08-06,0,4,5,3.0,0,2,-1.0,-1.0
VSXY,VSXY_0,2025-01-08,1,3,5,3.0,0,2,-1.0,-1.0
VSXY,VSXY_1,2025-01-24,0,3,5,,0,2,-1.0,-1.0
VSXY,VSXY_2,2026-02-12,0,3,5,4.0,5,3,0.495,1.62
VSXY,VSXY_3,2026-03-03,1,3,5,4.0,5,4,0.645,0.645
VSXY,VSXY_4,2026-08-18,0,4,5,3.0,0,2,1.283,1.283
WFRD,WFRD_0,2023-10-31,0,4,5,2.0,3,5,0.597,0.597
WFRD,WFRD_1,2026-03-06,0,3,5,2.0,0,3,-1.0,-1.0
WRBY,WRBY_0,2025-02-12,1,4,5,5.0,1,4,-1.0,-1.0
WRBY,WRBY_1,2025-10-03,2,3,5,5.0,0,3,-1.0,-1.0
WT,WT_0,2024-08-05,0,0,5,2.0,3,3,-1.0,-1.0
WT,WT_1,2025-10-01,1,5,5,2.0,0,3,-1.0,-1.0
WWW,WWW_0,2025-01-13,0,3,5,1.0,4,5,0.495,0.495
WWW,WWW_1,2025-09-25,3,3,5,2.0,0,2,-1.0,-1.0
XPO,XPO_0,2024-04-24,0,1,5,,0,4,-1.0,-1.0
YOU,YOU_0,2026-06-03,0,3,5,4.0,0,3,-1.0,-1.0
ZWS,ZWS_0,2025-10-31,0,2,5,3.0,3,0,0.433,0.433
